Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Ecuador;FMCG;Transactions Share %;E-commerce;MAT Q4.25;0;
Colombia;FMCG;Transactions Share %;E-commerce;MAT Q4.25;0.1;
Center Zone;FMCG;Transactions Share %;E-commerce;MAT Q4.24;0.125114077398268;
Guatemala;FMCG;Transactions Share %;E-commerce;MAT Q4.24;0;
Costa Rica;FMCG;Transactions Share %;E-commerce;MAT Q4.24;0;
Honduras;FMCG;Transactions Share %;E-commerce;MAT Q4.24;0;
Republica Dominicana;FMCG;Transactions Share %;E-commerce;MAT Q4.24;0.14;
Peru;FMCG;Transactions Share %;E-commerce;MAT Q4.24;0.4;
Ecuador;FMCG;Transactions Share %;E-commerce;MAT Q4.24;0;
Colombia;FMCG;Transactions Share %;E-commerce;MAT Q4.24;0;
Center Zone;FMCG;Transactions Share %;Door To Door;MAT Q4.25;2.99967966538132;
Guatemala;FMCG;Transactions Share %;Door To Door;MAT Q4.25;6.9;
Costa Rica;FMCG;Transactions Share %;Door To Door;MAT Q4.25;0.6;
Honduras;FMCG;Transactions Share %;Door To Door;MAT Q4.25;9.5;
Republica Dominicana;FMCG;Transactions Share %;Door To Door;MAT Q4.25;0.55;
Peru;FMCG;Transactions Share %;Door To Door;MAT Q4.25;1.9;
Ecuador;FMCG;Transactions Share %;Door To Door;MAT Q4.25;5.2;
Colombia;FMCG;Transactions Share %;Door To Door;MAT Q4.25;1.7;
Center Zone;FMCG;Transactions Share %;Door To Door;MAT Q4.24;3.24280868048993;
Guatemala;FMCG;Transactions Share %;Door To Door;MAT Q4.24;7.3;
Costa Rica;FMCG;Transactions Share %;Door To Door;MAT Q4.24;0.6;
Honduras;FMCG;Transactions Share %;Door To Door;MAT Q4.24;12;
Republica Dominicana;FMCG;Transactions Share %;Door To Door;MAT Q4.24;0.71;
Peru;FMCG;Transactions Share %;Door To Door;MAT Q4.24;1.8;
Ecuador;FMCG;Transactions Share %;Door To Door;MAT Q4.24;7.7;
Colombia;FMCG;Transactions Share %;Door To Door;MAT Q4.24;1.4;
Center Zone;FMCG;Transactions Share %;Specialized Stores;MAT Q4.25;6.39791020314183;
Guatemala;FMCG;Transactions Share %;Specialized Stores;MAT Q4.25;7.3;
Costa Rica;FMCG;Transactions Share %;Specialized Stores;MAT Q4.25;10.1;
Honduras;FMCG;Transactions Share %;Specialized Stores;MAT Q4.25;3.9;
Republica Dominicana;FMCG;Transactions Share %;Specialized Stores;MAT Q4.25;1.91;
Peru;FMCG;Transactions Share %;Specialized Stores;MAT Q4.25;0.2;
Ecuador;FMCG;Transactions Share %;Specialized Stores;MAT Q4.25;7.6;
Colombia;FMCG;Transactions Share %;Specialized Stores;MAT Q4.25;9.8;
Center Zone;FMCG;Transactions Share %;Specialized Stores;MAT Q4.24;7.45704967843508;
Guatemala;FMCG;Transactions Share %;Specialized Stores;MAT Q4.24;8.8;
Costa Rica;FMCG;Transactions Share %;Specialized Stores;MAT Q4.24;11;
Honduras;FMCG;Transactions Share %;Specialized Stores;MAT Q4.24;4.9;
Republica Dominicana;FMCG;Transactions Share %;Specialized Stores;MAT Q4.24;2.87;
Peru;FMCG;Transactions Share %;Specialized Stores;MAT Q4.24;0.2;
Ecuador;FMCG;Transactions Share %;Specialized Stores;MAT Q4.24;8.5;
Colombia;FMCG;Transactions Share %;Specialized Stores;MAT Q4.24;12.2;
Center Zone;NARTD;Transactions Share %;Total Market;MAT Q4.25;100;
Guatemala;NARTD;Transactions Share %;Total Market;MAT Q4.25;100;
Costa Rica;NARTD;Transactions Share %;Total Market;MAT Q4.25;100;
Honduras;NARTD;Transactions Share %;Total Market;MAT Q4.25;100;
Republica Dominicana;NARTD;Transactions Share %;Total Market;MAT Q4.25;100;
Peru;NARTD;Transactions Share %;Total Market;MAT Q4.25;100;
Ecuador;NARTD;Transactions Share %;Total Market;MAT Q4.25;100;
Colombia;NARTD;Transactions Share %;Total Market;MAT Q4.25;100;
