Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Ecuador;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.24;371021300;
Colombia;FMCG;Absolute Transactions;Modern Trade (Including Wholesalers);MAT Q4.24;1242301140;
Guatemala;FMCG;Absolute Transactions;Hypermarket;MAT Q4.25;3097555;
Costa Rica;FMCG;Absolute Transactions;Hypermarket;MAT Q4.25;5519109;
Honduras;FMCG;Absolute Transactions;Hypermarket;MAT Q4.25;2640370;
Republica Dominicana;FMCG;Absolute Transactions;Hypermarket;MAT Q4.25;74466450;
Peru;FMCG;Absolute Transactions;Hypermarket;MAT Q4.25;87357180;
Ecuador;FMCG;Absolute Transactions;Hypermarket;MAT Q4.25;35812120;
Colombia;FMCG;Absolute Transactions;Hypermarket;MAT Q4.25;246517000;
Guatemala;FMCG;Absolute Transactions;Hypermarket;MAT Q4.24;2383704;
Costa Rica;FMCG;Absolute Transactions;Hypermarket;MAT Q4.24;4336211;
Honduras;FMCG;Absolute Transactions;Hypermarket;MAT Q4.24;1113895;
Republica Dominicana;FMCG;Absolute Transactions;Hypermarket;MAT Q4.24;53202500;
Peru;FMCG;Absolute Transactions;Hypermarket;MAT Q4.24;78498470;
Ecuador;FMCG;Absolute Transactions;Hypermarket;MAT Q4.24;34943180;
Colombia;FMCG;Absolute Transactions;Hypermarket;MAT Q4.24;229869200;
Guatemala;FMCG;Absolute Transactions;Supermarket;MAT Q4.25;30286200;
Costa Rica;FMCG;Absolute Transactions;Supermarket;MAT Q4.25;37352350;
Honduras;FMCG;Absolute Transactions;Supermarket;MAT Q4.25;15752540;
Republica Dominicana;FMCG;Absolute Transactions;Supermarket;MAT Q4.25;131744400;
Peru;FMCG;Absolute Transactions;Supermarket;MAT Q4.25;25056150;
Ecuador;FMCG;Absolute Transactions;Supermarket;MAT Q4.25;227407600;
Colombia;FMCG;Absolute Transactions;Supermarket;MAT Q4.25;232816400;
Guatemala;FMCG;Absolute Transactions;Supermarket;MAT Q4.24;22577740;
Costa Rica;FMCG;Absolute Transactions;Supermarket;MAT Q4.24;31330720;
Honduras;FMCG;Absolute Transactions;Supermarket;MAT Q4.24;12054020;
Republica Dominicana;FMCG;Absolute Transactions;Supermarket;MAT Q4.24;132571300;
Peru;FMCG;Absolute Transactions;Supermarket;MAT Q4.24;35946090;
Ecuador;FMCG;Absolute Transactions;Supermarket;MAT Q4.24;185135300;
Colombia;FMCG;Absolute Transactions;Supermarket;MAT Q4.24;221832200;
Guatemala;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.25;16695990;
Costa Rica;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.25;949728.9;
Honduras;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.25;3970516;
Republica Dominicana;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.25;1548771;
Peru;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.25;11196200;
Ecuador;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.25;10602390;
Colombia;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.25;9596464;
Guatemala;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.24;10511800;
Costa Rica;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.24;830388.4;
Honduras;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.24;3224877;
Republica Dominicana;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.24;873005;
Peru;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.24;10876230;
Ecuador;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.24;8283693;
Colombia;FMCG;Absolute Transactions;Neighborhood + Convenience;MAT Q4.24;7031046;
Guatemala;FMCG;Absolute Transactions;Discounters;MAT Q4.25;118731900;
Costa Rica;FMCG;Absolute Transactions;Discounters;MAT Q4.25;73273250;
Honduras;FMCG;Absolute Transactions;Discounters;MAT Q4.25;26396730;
Republica Dominicana;FMCG;Absolute Transactions;Discounters;MAT Q4.25;0;
Peru;FMCG;Absolute Transactions;Discounters;MAT Q4.25;93926500;
Ecuador;FMCG;Absolute Transactions;Discounters;MAT Q4.25;123448700;
Colombia;FMCG;Absolute Transactions;Discounters;MAT Q4.25;858380200;
Guatemala;FMCG;Absolute Transactions;Discounters;MAT Q4.24;105998500;
Costa Rica;FMCG;Absolute Transactions;Discounters;MAT Q4.24;65479430;
Honduras;FMCG;Absolute Transactions;Discounters;MAT Q4.24;19607280;
Republica Dominicana;FMCG;Absolute Transactions;Discounters;MAT Q4.24;0;
Peru;FMCG;Absolute Transactions;Discounters;MAT Q4.24;64867650;
Ecuador;FMCG;Absolute Transactions;Discounters;MAT Q4.24;85389480;
Colombia;FMCG;Absolute Transactions;Discounters;MAT Q4.24;743621100;
Guatemala;FMCG;Absolute Transactions;Wholesalers;MAT Q4.25;2669508;
