Pais;Categoria;Subcategoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Peru;NARTD;Colas;Incidence vs FMCG;T. Channels;MAT Q4.24;5.4;
Peru;NARTD;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.24;6.7;
Peru;NARTD;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.24;3.2;
Peru;NARTD;Water;Incidence vs FMCG;T. Channels;MAT Q4.24;6.6;
Peru;NARTD;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.25;100;
Peru;NARTD;Colas;Incidence vs FMCG;T. Channels;MAT Q4.25;5.6;
Peru;NARTD;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.25;7.4;
Peru;NARTD;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.25;3.5;
Peru;NARTD;Water;Incidence vs FMCG;T. Channels;MAT Q4.25;7.2;
Peru;TCCC;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.24;100;
Peru;TCCC;Colas;Incidence vs FMCG;T. Channels;MAT Q4.24;3.4;
Peru;TCCC;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.24;4;
Peru;TCCC;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.24;1.2;
Peru;TCCC;Water;Incidence vs FMCG;T. Channels;MAT Q4.24;1.4;
Peru;TCCC;FMCG;Incidence vs FMCG;T. Channels;MAT Q4.25;100;
Peru;TCCC;Colas;Incidence vs FMCG;T. Channels;MAT Q4.25;3.5;
Peru;TCCC;Sabores;Incidence vs FMCG;T. Channels;MAT Q4.25;4.3;
Peru;TCCC;RTDJ;Incidence vs FMCG;T. Channels;MAT Q4.25;1.4;
Peru;TCCC;Water;Incidence vs FMCG;T. Channels;MAT Q4.25;1.3;
Center Zone;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Center Zone;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.048007994419615396;
Center Zone;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.05683309610843736;
Center Zone;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.058836962243170116;
Center Zone;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.060347340611424626;
Center Zone;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Center Zone;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.04810785421518081;
Center Zone;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.05368598771721522;
Center Zone;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.058778780939336896;
Center Zone;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.058058662695579445;
Center Zone;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Center Zone;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.03615782350531332;
Center Zone;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.01770244287557519;
Center Zone;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.009438248140075201;
Center Zone;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.008031889641222669;
Center Zone;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Center Zone;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;;
